System,Model,Group,DataSource,λ_est,λ_lit,ECE,NLL(h=1),NLL(h=20),RMSE(h=1),RMSE(h=20),LCS,CovGap,PQ,MA,ER,ID,FC,EU,AB,FINAL_total
Lorenz,DE,A,RK4 integration (reproducible benchmark),0.7123,0.906,0.1216,-0.9931,6.1265,0.0907,0.3855,0.3589,N/A,0.9093,0.6795,0.8784,0.8014,0.6145,1.0,0.6,0.7807
Lorenz,SnapshotEns,A,RK4 integration (reproducible benchmark),0.7123,0.906,0.0381,0.3747,1.1347,0.2061,0.8776,0.8077,N/A,0.7939,0.9039,0.9619,0.9251,0.1224,1.0,0.6,0.7814
Lorenz,BayesLSTM,B,RK4 integration (reproducible benchmark),0.7123,0.906,0.3305,0.5944,0.6895,0.2261,0.3039,0.4576,N/A,0.7739,0.7288,0.6695,0.8811,0.6961,1.0,0.6,0.7601
Lorenz,EDL,B,RK4 integration (reproducible benchmark),0.7123,0.906,0.3346,2.0532,2.6087,0.6617,3.5612,0.9223,N/A,0.3383,0.9611,0.6654,0.5894,0.0,0.5254,0.6,0.5632
Lorenz,MDN,B,RK4 integration (reproducible benchmark),0.7123,0.906,0.2855,0.0149,0.6935,0.1783,0.5015,0.6491,N/A,0.8217,0.8245,0.7145,0.997,0.4985,1.0,0.6,0.7871
Lorenz,DKL,C,RK4 integration (reproducible benchmark),0.7123,0.906,0.2071,-0.7115,-0.8995,0.1478,0.078,N/A,N/A,0.8522,0.5,0.7929,0.8577,0.922,1.0,0.6,0.7735
Lorenz,SNGP,C,RK4 integration (reproducible benchmark),0.7123,0.906,0.2312,1.9391,2.2967,1.7823,2.3384,0.9979,N/A,0.0,0.999,0.7688,0.6122,0.0,1.0,0.6,0.5937
Lorenz,ConformalNN,D,RK4 integration (reproducible benchmark),0.7123,0.906,0.1578,0.2386,0.6791,0.1776,0.4401,0.1477,0.0403,0.8224,0.5738,0.8422,0.9523,0.5599,1.0,0.6,0.7588
Lorenz,ACI,D,RK4 integration (reproducible benchmark),0.7123,0.906,0.3398,-0.5011,2.606,0.1466,0.5308,0.8519,0.0579,0.8534,0.9259,0.6602,0.8998,0.4692,1.0,0.6,0.7805
Lorenz,ESN,E,RK4 integration (reproducible benchmark),0.7123,0.906,0.3562,8.383,21.3288,0.0626,0.5123,0.881,N/A,0.9374,0.9405,0.6438,0.0,0.4877,1.0,0.6,0.6313
Lorenz,Mamba-Lite,E,RK4 integration (reproducible benchmark),0.7123,0.906,0.418,129.5755,107.8067,0.5089,0.5896,0.9561,N/A,0.4911,0.9781,0.582,0.0,0.4104,1.0,0.6,0.5621
Lorenz,TFT-Lite,F,RK4 integration (reproducible benchmark),0.7123,0.906,0.3552,0.4618,0.9226,0.2923,0.2937,0.2401,N/A,0.7077,0.6201,0.6448,0.9076,0.7063,1.0,0.6,0.7296
